MONTH,ACCIDENT_DATE,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,HIT_RUN_FLAG,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,RUN_OFFROAD,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,DRIVER,MOTORIST,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,STAT_DIV_NAME,MONTH,MONTH_COUNT,MONTH_ALC,MONTH_NALC,DAY,DAY_COUNT
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Monday,Yes,Dark Street lights on,Other injury accident,50 km/hr,Yes,145.1653952,-38.1236413,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,2019/01,1094,398,696,Monday,958
2019/01,2019/01/01 00:00:00+00,No,Collision with vehicle,Tuesday,No,Day,Serious injury accident,80 km/hr,No,145.4570584,-37.79485864,Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,5,5,0,2,3,0,3,2,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Metro,2019/02,1145,423,722,Tuesday,1020
2019/01,2019/01/01 00:00:00+00,Yes,Struck animal,Monday,No,Dark No street lights,Serious injury accident,100 km/hr,No,146.9839835,-36.21970606,Non-Intersection,WODONGA,NORTH EASTERN REGION,2,2,0,2,0,0,1,1,0,0,1,0,0,0,0,No,0,1,0,0,1,0,Country,2019/03,1221,415,806,Wednesday,1032
2019/01,2019/01/01 00:00:00+00,No,Struck Pedestrian,Tuesday,No,Day,Serious injury accident,Camping grounds or off road,No,143.8930104,-38.51624216,Off Road,SURF COAST,SOUTH WESTERN REGION,3,2,0,1,1,1,2,1,0,1,0,0,0,0,1,No,0,1,0,1,0,0,Country,2019/04,1157,408,749,Thursday,1077
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Monday,No,Day,Serious injury accident,100 km/hr,Yes,145.2113608,-37.86743015,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,2019/05,1236,437,799,Friday,1080
2019/01,2019/01/01 00:00:00+00,No,Struck Pedestrian,Tuesday,No,Day,Serious injury accident,60 km/hr,No,144.982489,-37.86021822,Intersection,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,2019/06,1104,365,739,Saturday,712
2019/01,2019/01/01 00:00:00+00,No,Collision with a fixed object,Monday,No,Day,Serious injury accident,50 km/hr,Yes,145.0187068,-37.69079913,Non-Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,,,,,Sunday,848
2019/01,2019/01/01 00:00:00+00,Yes,Struck animal,Tuesday,No,Dark No street lights,Serious injury accident,100 km/hr,No,144.0433773,-38.0852392,Non-Intersection,GOLDEN PLAINS,SOUTH WESTERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,No,Collision with a fixed object,Tuesday,No,Day,Serious injury accident,50 km/hr,Yes,145.0056281,-37.92163756,Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,No,Collision with a fixed object,Tuesday,No,Day,Other injury accident,100 km/hr,Yes,144.3848646,-38.05986485,Non-Intersection,GEELONG,SOUTH WESTERN REGION,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,No,0,1,0,1,0,0,Country,,,,,,
